Id._Empresa,Razón_Social,CIF,Domicilio,Id_Municipio_INE,Municipio,Población,Provincia,País,Código_Postal,Teléfono,Teléfono,Fax,Web,Email,CNAE,Descripción_actividad,Área_principal,Actividad_1,Actividad_2,Actividad_3,Actividad_4,Actividad_5,Actividad_6,Facturación_2019,Inversión_2019,Inversión_2020,Nº_empleados,Capital
298470,"PROFU, S.A. (PROFUSA)",A30023857,"Gran Vía Escultor Salzillo, 8",0308,Murcia,,Murcia,España,30004,968355888,,968213511,www.profusa.es,info@profusa.es,4110,Promoción inmobiliaria.,Proyectos inmobiliarios,Promotoras inmobiliarias,,,,,,29.67,3.69,,28,102.129
298565,"TRACK ESTRATEGIAS PARA EL SECTOR ALIMENTARIO, S.A.",A48765119,"Colón de Larreátegui, 3 - Oficinas 1º A",0209,Bilbao,,Bizkaia,España,48001,944077132,,944238949,,,7022,Consultoría.,Proyectos inmobiliarios,Ingeniería / construcción,,,,,,0.08,,,2,0.12
299466,"ANJOCA BALEARES, S.A.",A07441876,"Ctra. VALLDEMOSA, 33 - 1 - D",0407,Palma,,"Balears, Illes",España,07010,971298599,,971760761,www.anjoca.com,mallorca@anjoca.com,4110,Promoción residencial.,Proyectos inmobiliarios,Promotoras inmobiliarias,,,,,,,,,,
300894,"COMPAÑÍA ESPAÑOLA VIVIENDAS DE ALQUILER, S.A. (CEVASA)",A28218543,"Avda. Meridiana, 350 - 6ª Planta",0193,Barcelona,,Barcelona,España,08027,932744884,,932744885,www.cevasa.com,info@cevasa.com,6420,"Promoción de vivienda, patrimonio en alquiler y explotación hotelera.",Proyectos inmobiliarios,Services y patrimoniales inmobiliarias,,,,,,2.09,0.02,,16,6.976
302036,INSTITUCION FERIAL DE BARBASTRO (IFB),,"Avda. ESTACION, S/N - APARTADO. 41",0481,Barbastro,,Huesca,España,22300,974310371,,974306060,,ferias@barbastro.org,,Organización de ferias y exposiciones.,Proyectos inmobiliarios,Ferias / recintos feriales,,,,,,,,,,
303356,FUNDACIÓ FIRA DE GIRONA,G17543083,"Passeig de la Devesa, 34-36 – Palau de Fires",0792,Girona,,Girona,España,17001,972419100,,972208974,www.firagirona.com,info@firagirona.com,,Organización de ferias y exposiciones.,Proyectos inmobiliarios,Ferias / recintos feriales,,,,,,1.5,,,,
306451,"ESTEL INGENIERÍA Y OBRAS, S.A.",A07736689,"Ada Byron, s/n - Edificio Estel - Parc Bit - Parcela 5A 1º",0407,Palma,,"Balears, Illes",España,07121,971435090,,971435049,www.esteling.com,estel@esteling.com,4321,"Instalaciones eléctricas, telecomunicaciones y mecánicas.",Proyectos inmobiliarios,Instalación electricidad / telefonía,Informática para hostelería,,,,,31.65,0.06,,184,0.771
306581,"UNIBAIL RODAMCO SPAIN, S.L.",B79234092,"José Abascal, 56 - 4",0796,Madrid,,Madrid,España,28003,917006500,,913101096,www.unibail-rodamco.com,investors@rodamco.com,6832,"Promoción y gestión de centros comerciales, oficinas y naves.",Proyectos inmobiliarios,Services y patrimoniales inmobiliarias,Promoción de centros comerciales,,,,,34.62,0.73,,136,48.169
311226,"INMOBILIARIA MANUEL ASÍN, S.L.",B50028695,"Plaza Santa Engracia, 1, 1-D",2973,Zaragoza,,Zaragoza,España,50001,976219593,,976222991,,,6820,Promoción inmobiliaria.,Proyectos inmobiliarios,Gestora / explotadora hotelera,Promotoras inmobiliarias,Propietaria de inmuebles hoteleros (patrimonio),,,,0.71,,,3,0.077
312466,"CONSTRUCCIONES ALCOCEBRE, S.A.",A12200598,"Fuentes, S/n Bajo - Edificio el Centro",0043,Alcalà de Xivert,Alcossebre,Castellón/Castelló,España,12579,964412637,,964414508,,,4122,Constructora.,Proyectos inmobiliarios,Constructoras,,,,,,,,,,
314919,"MONTEBALITO, S.A.",A28294700,"Lugar Balito, 1",0120,Mogán,,"Palmas, Las",España,35130,928227182,,928228070,www.montebalito.,info@motebalito.com,4110,Promoción inmobiliaria.,Proyectos inmobiliarios,Promotoras inmobiliarias,,,,,,10.98,1.13,,57,32
314948,"GRUPO PRA, S.A. ",A14027635,"Avda. Gran Capitán, 2",0214,Córdoba,,Córdoba,España,14008,957475676,,957477121,www.grupoprasa.es,contacta@grupoprasa.es,4110,Promoción inmobiliaria.,Proyectos inmobiliarios,Promotoras inmobiliarias,,,,,,2.28,,,9,10.847
316364,ELSAMEX - GRUPO,A28504728,"San Severo, 18 - Barajas Park",0796,Madrid,,Madrid,España,28042,913294477,,913294058,www.grupoelsamex.com,info@elsamex.com,7490,"Conservación de carreteras, ingeniería y fabricación de asfaltos.",Proyectos inmobiliarios,Construcción obra civil,,,,,,130,,,1629,20.265
317521,"COMSA, S.A.U.",A08031098,"Viriat, 47 ",0193,Barcelona,,Barcelona,España,08014,933662100,,934051340,www.comsa.com,comunicacion@comsa.com,4122,"Construcción y mantenimiento ferroviario, carreteras, edificación y obra civil.",Proyectos inmobiliarios,Constructoras,,,,,,382.22,2.96,,697,10.107
319970,"SOLAR JIENNENSE, S.L.",B23039480,"Ctra. LA GUARDIA,  ACCESO 4  NAVE 13",0503,Jaén,,Jaén,España,23003,953239420,,953239425,www.solarjiennense.com,info@solarjiennense.com,4399,"Instalaciones solares fotovoltaicas y térmicas, climatización, calefacción, fontanería y contra incendios.",Proyectos inmobiliarios,Instalación electricidad / telefonía,,,,,,7.58,0.13,,64,0.072
320347,"SCORPYUS FRUITS, S.A.",A30001960,"Ctra. San Javier, 303",0308,Murcia,Alquerías,Murcia,España,30580,968811974,,968811974,www.scorpyusfruits.es,info-contacto@scorpyusfruits.es,4631,Promoción inmobiliaria.,Proyectos inmobiliarios,Promotoras inmobiliarias,,,,,,9.5,,,,0.421
320480,"INERCO INGENIERIA TECN. Y CONSULTORIA, S.A.",A41212572,"Tomás Alba Edisson, 2  - Parque Tecnológico Cartuja",0917,Sevilla,,Sevilla,España,41092,954468100,,954461329,www.inerco.com,,7112,"Ingenieria en medio ambiente, tecnología, seguridad industrial y prevención de riesgos.",Proyectos inmobiliarios,Ingeniería / construcción,,,,,,54.29,,,647,0.6
321141,"DESERT SPRINGS, S.L.",B04239406,"Bayra, s/n  - Edificio Villaricos",0353,Cuevas del Almanzora,Villaricos,Almería,España,04616,950467411,,,,,,Promoción inmobiliaria.,Proyectos inmobiliarios,Gestora / explotadora hotelera,Promotoras inmobiliarias,,,,,,,,,13.684
321258,FUNDACIÓN FEIRAS E EXPOSICIONES OURENSE (EXPOURENSE),G32164956,"Finca Sevilla, S/N",0548,Ourense,,Ourense,España,32005,988366030,,988366204,www.expourense.org,expourense@expourense.org,,Organización de ferias y exposiciones.,Proyectos inmobiliarios,Ferias / recintos feriales,,,,,,1.7,,,,
321328,"CADAGUA, S.A.",A48062277,"Gran Vía, 45  - Plantas 7ª-8ª",0209,Bilbao,,Bizkaia,España,48011,944817300,,944817301,www.cadagua.es,cadagua.info@cadagua.es,4122,"Diseño, construcción e instalación de plantas para el tratamiento de aguas.",Proyectos inmobiliarios,Otras instalaciones,,,,,,61.09,0.03,,506,15.927
321329,FERROVIAL SERVICIOS (FERROSER) - GRUPO,A80241789,"Príncipe de Vergara, 135",0796,Madrid,,Madrid,España,28002,913388300,,915862530,www.ferroser.es,comunicacion@ferrovial.com,8110,Mantenimiento integral de instalaciones y servicios.,Proyectos inmobiliarios,Construcción obra civil,,,,,,2062.45,,,38397,573.043
321330,"FERROVIAL MEDIO AMBIENTE Y ENERGÍA, S.A.",A80882194,"RIBERA DEL LOIRA, 42",0796,Madrid,,Madrid,España,28042,914363180,,915862677,,mail@ferrovial.com,3600,Construcción y gestión de infraestructuras medioambientales.,Proyectos inmobiliarios,Construcción especial,,,,,,,,,,
324320,"ABACO, ESTUDIO DE ARQUITECTURA, S.L.",,"MENENDEZ Y PELAYO, 1",0308,Coruña (A),,"Coruña, A",España,15005,981120783,,,,,,,Proyectos inmobiliarios,Ingeniería / construcción,,,,,,,,,,
326217,"DURO FELGUERA, S.A.",A28004026,"Ada Byron, 90   - P. Científico y Tecnológico de Gijón",0241,Gijón,,Asturias,España,33203,95199000,,985219339,www.durofelguera.com,comunicacion@durofelguera.com,4399,Ejecución llave en mano de centrales energéticas.,Proyectos inmobiliarios,Otras instalaciones,,,,,,254.04,0.14,,683,4.8
326373,"DINOTEC SOCIEDAD DE AGUAS Y MEDIO AMBIENTE, S.L.",B41042698,"Parsi, 3 nº6",0917,Sevilla,,Sevilla,España,41016,954252520,,954250065,www.dinotec.com,dinotec@dinotec.com,4299,Tratamiento de aguas potables y residuales.,Proyectos inmobiliarios,Instalaciones tratamiento de agua,,,,,,3.61,0.03,,22,0.301
327995,"ERICSSON ESPAÑA, S.A.",A28858603,"Retama, 1 - Edificio Torre Suecia",0796,Madrid,,Madrid,España,28045,913391000,,913392115,www.ericsson.com,direccion.de.comunicacion@ericsson.com,6190,Suministros de sistemas y servicios de telecomunicación.,Proyectos inmobiliarios,Instalación electricidad / telefonía,,,,,,502.65,1.31,,1915,28
328123,"INBISA GRUPO EMPRESARIAL, S.L. - GRUPO",B95027215,"Gran Vía, 35    - Piso 4 ",0209,Bilbao,,Bizkaia,España,48009,944392222,,944392200,www.inbisa.com,comunicacion@inbisa.com,7022,"Promoción inmobiliaria, construcción, logística, energía y servicios.",Proyectos inmobiliarios,Promotoras inmobiliarias,,,,,,,,,,111.99
329770,"SOFREL ESPAÑA, S.L.",B81573131,"Parque Empresarial Ñatea, Avda. de la Industria, 4",0066,Alcobendas,,Madrid,España,28018,915100800,,914167208,www.lacroix-sofrel.es,sofrel.es@sofrel.com.,4652,Equipos y control y comunicacion por radiofrecuencia y telefonia.,Proyectos inmobiliarios,Instalación climatización / fontanería,,,,,,3,,,,0.1
329911,"ASTEISA TRATAMIENTO DE AGUAS, S.A.",A28376812,"Avda. del Ensanche de Vallecas, 44 ",0796,Madrid,,Madrid,España,28051,915902450,,915902451,,asteisa@asteisa.com,4122,"Diseño, construcción, mantenimiento y explotación de instalaciones para el tratamiento integral del agua.",Proyectos inmobiliarios,Instalaciones tratamiento de agua,,,,,,,,,,
330459,"AUTODESK, S.A.",A59125229,"Josep Plá, 2 - Torre B, 2 6ª planta",0193,Barcelona,,Barcelona,España,08019,934803380,,934733352,www.autodesk.es,infospain@autodesk.com,4618,Comercialización de software informático.,Proyectos inmobiliarios,Software para construcción,,,,,,36.5,,,319,0.18
330544,"GEOTECNIA Y CIMIENTOS, S.A. (GEOCISA)",A28208874,"Los Llanos de Jerez, 10-12",0493,Coslada,,Madrid,España,28823,916603000,,916716460,www.geocisa.com,geocisa@geocisa.com,4299,Constructora e ingeniería.,Proyectos inmobiliarios,Construcción especial,,,,,,22.34,0.14,,189,0.807
